node_num,job_num,msg_size,avg_latency
2,1,104857600,152017.983143
2,2,104857600,210195.244740
2,3,104857600,274918.978731
2,4,104857600,358974.430026
2,5,104857600,443505.011169
2,6,104857600,524504.415381
2,7,104857600,661570.932042
2,8,104857600,749369.531191
3,1,104857600,174932.174255
3,2,104857600,266697.754577
3,3,104857600,364765.819997
3,4,104857600,474988.696574
3,5,104857600,593498.133888
3,6,104857600,696314.725010
3,7,104857600,827878.890765
3,8,104857600,939888.503571
4,1,104857600,195968.191704
4,2,104857600,301582.710704
4,3,104857600,407892.060847
4,4,104857600,530924.550487
4,5,104857600,665828.440302
4,6,104857600,790062.453078
4,7,104857600,913375.363784
4,8,104857600,1063217.811318
5,1,104857600,211631.553929
5,2,104857600,323568.257276
5,3,104857600,439214.957874
5,4,104857600,569732.487561
5,5,104857600,700949.405639
5,6,104857600,844453.207527
5,7,104857600,945619.470192
5,8,104857600,1109820.087491
6,1,104857600,209946.935398
6,2,104857600,327955.812740
6,3,104857600,452745.361561
6,4,104857600,596444.297232
6,5,104857600,741015.948388
6,6,104857600,890676.959235
6,7,104857600,1031605.975290
6,8,104857600,1165742.224037
7,1,104857600,215772.478347
7,2,104857600,338319.148071
7,3,104857600,472769.461871
7,4,104857600,614354.427676
7,5,104857600,765773.065565
7,6,104857600,897118.272741
7,7,104857600,1056262.634768
7,8,104857600,1215436.732353
8,1,104857600,241320.360694
8,2,104857600,343172.999454
8,3,104857600,476948.947650
8,4,104857600,626012.535140
8,5,104857600,784204.116586
8,6,104857600,932751.947338
8,7,104857600,1067977.406905
8,8,104857600,1232868.543269
